Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
United States,USA,Access to a mobile phone (% age 15+),gwp1_n,..,..,..,..,..,..,94.86415,..,..
United States,USA,Access to a mobile phone (% age 60+),gwp1_n_7,..,..,..,..,..,..,91.63924,..,..
United States,USA,Access to a mobile phone (% ages 15-34),gwp1_n_5,..,..,..,..,..,..,96.50071,..,..
United States,USA,Access to a mobile phone (% ages 35-59),gwp1_n_6,..,..,..,..,..,..,95.95279,..,..
United States,USA,"Access to a mobile phone, female (% age 15+)",gwp1_n_1,..,..,..,..,..,..,94.12265,..,..
United States,USA,"Access to a mobile phone, income, poorest 40% (% age 15+)",gwp1_n_3,..,..,..,..,..,..,92.11235,..,..
United States,USA,"Access to a mobile phone, income, richest 60% (% age 15+)",gwp1_n_4,..,..,..,..,..,..,96.6903,..,..
United States,USA,"Access to a mobile phone, male (% age 15+)",gwp1_n_2,..,..,..,..,..,..,95.62642,..,..
United States,USA,Access to internet (% age 15+),gwp2_n,..,..,..,..,..,..,90.40123,..,..
United States,USA,Access to internet (% age 60+),gwp2_n_7,..,..,..,..,..,..,83.89197,..,..
United States,USA,Access to internet (% ages 15-34),gwp2_n_5,..,..,..,..,..,..,93.13082,..,..
United States,USA,Access to internet (% ages 35-59),gwp2_n_6,..,..,..,..,..,..,93.06467,..,..
United States,USA,"Access to internet, female (% age 15+)",gwp2_n_1,..,..,..,..,..,..,90.56458,..,..
United States,USA,"Access to internet, income, poorest 40% (% age 15+)",gwp2_n_3,..,..,..,..,..,..,83.61003,..,..
United States,USA,"Access to internet, income, richest 60% (% age 15+)",gwp2_n_4,..,..,..,..,..,..,94.90803,..,..
United States,USA,"Access to internet, male (% age 15+)",gwp2_n_2,..,..,..,..,..,..,90.2333,..,..
United States,USA,Account (% age 15+),account_t_d,87.95786,..,..,93.5838,..,..,93.12218,..,..
United States,USA,Account (% age 60+),account_t_d_7,91.34697,..,..,97.45577,..,..,96.6573,..,..
United States,USA,Account (% ages 15-34),account_t_d_5,83.41908,..,..,90.47101,..,..,88.41601,..,..
United States,USA,Account (% ages 35-59),account_t_d_6,90.4107,..,..,93.73845,..,..,94.29476,..,..
United States,USA,"Account, female (% age 15+)",account_t_d_1,84.06906,..,..,94.79771,..,..,92.68625,..,..
United States,USA,"Account, income, poorest 40% (% age 15+)",account_t_d_3,78.57781,..,..,87.69115,..,..,85.21857,..,..
